Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.510888889,63
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.369045455,44
2016-17,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.30622,300
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.201418103,232
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.397640777,103
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.47488,225
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.391,112
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.4323,10
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,Bachelor of Arts,3.2873,10
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,3.1788,10
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,2.935888889,9
2016-17,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.258060606,33
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.410390756,238
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.118659574,141
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.116130952,84
2016-17,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,Bachelor of Arts,3.600714286,7
